id,section,topic,status,reason,duplicate_of
TCS_LOG_032,Logical Reasoning,Coding-Decoding,KEPT,curated_representative,
TCS_LOG_033,Logical Reasoning,Coding-Decoding,KEPT,curated_representative,
TCS_LOG_034,Logical Reasoning,Coding-Decoding,KEPT,curated_representative,
TCS_LOG_035,Logical Reasoning,Coding-Decoding,KEPT,curated_representative,
TCS_LOG_036,Logical Reasoning,Coding-Decoding,KEPT,curated_representative,
TCS_LOG_037,Logical Reasoning,Coding-Decoding,KEPT,curated_representative,
TCS_LOG_038,Logical Reasoning,Coding-Decoding,KEPT,curated_representative,
TCS_LOG_039,Logical Reasoning,Coding-Decoding,KEPT,curated_representative,
TCS_LOG_040,Logical Reasoning,Coding-Decoding,KEPT,curated_representative,
TCS_LOG_041,Logical Reasoning,Coding-Decoding,KEPT,curated_representative,
TCS_LOG_043,Logical Reasoning,Coding-Decoding,KEPT,curated_representative,
TCS_LOG_044,Logical Reasoning,Coding-Decoding,KEPT,curated_representative,
TCS_LOG_045,Logical Reasoning,Coding-Decoding,KEPT,curated_representative,
TCS_LOG_046,Logical Reasoning,Blood Relations,KEPT,curated_representative,
TCS_LOG_047,Logical Reasoning,Blood Relations,KEPT,curated_representative,
TCS_LOG_048,Logical Reasoning,Blood Relations,KEPT,curated_representative,
TCS_LOG_050,Logical Reasoning,Blood Relations,KEPT,curated_representative,
TCS_LOG_051,Logical Reasoning,Blood Relations,KEPT,curated_representative,
TCS_LOG_052,Logical Reasoning,Blood Relations,KEPT,curated_representative,
TCS_LOG_053,Logical Reasoning,Blood Relations,KEPT,curated_representative,
TCS_LOG_054,Logical Reasoning,Blood Relations,KEPT,curated_representative,
TCS_LOG_055,Logical Reasoning,Blood Relations,KEPT,curated_representative,
TCS_LOG_056,Logical Reasoning,Blood Relations,KEPT,curated_representative,
TCS_LOG_057,Logical Reasoning,Blood Relations,KEPT,curated_representative,
TCS_LOG_058,Logical Reasoning,Blood Relations,KEPT,curated_representative,
TCS_LOG_059,Logical Reasoning,Blood Relations,KEPT,curated_representative,
TCS_LOG_060,Logical Reasoning,Blood Relations,KEPT,curated_representative,
TCS_LOG_061,Logical Reasoning,Syllogisms,KEPT,curated_representative,
TCS_LOG_062,Logical Reasoning,Syllogisms,KEPT,curated_representative,
TCS_LOG_063,Logical Reasoning,Syllogisms,KEPT,curated_representative,
TCS_LOG_064,Logical Reasoning,Syllogisms,KEPT,curated_representative,
TCS_LOG_065,Logical Reasoning,Syllogisms,KEPT,curated_representative,
TCS_LOG_066,Logical Reasoning,Syllogisms,KEPT,curated_representative,
TCS_LOG_067,Logical Reasoning,Syllogisms,KEPT,curated_representative,
TCS_LOG_068,Logical Reasoning,Syllogisms,KEPT,curated_representative,
TCS_LOG_069,Logical Reasoning,Syllogisms,KEPT,curated_representative,
TCS_LOG_070,Logical Reasoning,Syllogisms,KEPT,curated_representative,
TCS_LOG_071,Logical Reasoning,Syllogisms,KEPT,curated_representative,
TCS_LOG_072,Logical Reasoning,Syllogisms,KEPT,curated_representative,
TCS_LOG_074,Logical Reasoning,Syllogisms,KEPT,curated_representative,
TCS_LOG_075,Logical Reasoning,Syllogisms,KEPT,curated_representative,
TCS_LOG_076,Logical Reasoning,Seating Arrangement,KEPT,curated_representative,
TCS_LOG_077,Logical Reasoning,Seating Arrangement,KEPT,curated_representative,
TCS_LOG_078,Logical Reasoning,Seating Arrangement,KEPT,curated_representative,
TCS_LOG_079,Logical Reasoning,Seating Arrangement,KEPT,curated_representative,
TCS_LOG_080,Logical Reasoning,Seating Arrangement,KEPT,curated_representative,
TCS_LOG_081,Logical Reasoning,Seating Arrangement,KEPT,curated_representative,
TCS_LOG_082,Logical Reasoning,Seating Arrangement,KEPT,curated_representative,
TCS_LOG_083,Logical Reasoning,Seating Arrangement,KEPT,curated_representative,
TCS_LOG_084,Logical Reasoning,Seating Arrangement,KEPT,curated_representative,
TCS_LOG_085,Logical Reasoning,Seating Arrangement,KEPT,curated_representative,
TCS_LOG_086,Logical Reasoning,Direction Sense,KEPT,curated_representative,
TCS_LOG_087,Logical Reasoning,Direction Sense,KEPT,curated_representative,
TCS_LOG_088,Logical Reasoning,Direction Sense,KEPT,curated_representative,
TCS_LOG_089,Logical Reasoning,Direction Sense,KEPT,curated_representative,
TCS_LOG_090,Logical Reasoning,Direction Sense,KEPT,curated_representative,
TCS_LOG_091,Logical Reasoning,Direction Sense,KEPT,curated_representative,
TCS_LOG_092,Logical Reasoning,Direction Sense,KEPT,curated_representative,
TCS_LOG_094,Logical Reasoning,Direction Sense,KEPT,curated_representative,
TCS_LOG_095,Logical Reasoning,Direction Sense,KEPT,curated_representative,
TCS_LOG_096,Logical Reasoning,Direction Sense,KEPT,curated_representative,
TCS_LOG_097,Logical Reasoning,Direction Sense,KEPT,curated_representative,
TCS_LOG_098,Logical Reasoning,Direction Sense,KEPT,curated_representative,
TCS_LOG_099,Logical Reasoning,Direction Sense,KEPT,curated_representative,
TCS_LOG_100,Logical Reasoning,Direction Sense,KEPT,curated_representative,
TCS_LOG_102,Logical Reasoning,Analogies,KEPT,curated_representative,
TCS_LOG_103,Logical Reasoning,Analogies,KEPT,curated_representative,
TCS_LOG_105,Logical Reasoning,Analogies,KEPT,curated_representative,
TCS_LOG_106,Logical Reasoning,Analogies,KEPT,curated_representative,
TCS_LOG_107,Logical Reasoning,Analogies,KEPT,curated_representative,
TCS_LOG_108,Logical Reasoning,Analogies,KEPT,curated_representative,
TCS_LOG_109,Logical Reasoning,Analogies,KEPT,curated_representative,
TCS_LOG_110,Logical Reasoning,Analogies,KEPT,curated_representative,
TCS_LOG_111,Logical Reasoning,Analogies,KEPT,curated_representative,
TCS_LOG_112,Logical Reasoning,Analogies,KEPT,curated_representative,
TCS_LOG_113,Logical Reasoning,Analogies,KEPT,curated_representative,
TCS_LOG_114,Logical Reasoning,Analogies,KEPT,curated_representative,
TCS_LOG_115,Logical Reasoning,Analogies,KEPT,curated_representative,
TCS_LOG_116,Logical Reasoning,Analogies,KEPT,curated_representative,
TCS_LOG_117,Logical Reasoning,Analogies,KEPT,curated_representative,
TCS_LOG_118,Logical Reasoning,Analogies,KEPT,curated_representative,
TCS_LOG_119,Logical Reasoning,Analogies,KEPT,curated_representative,
TCS_LOG_120,Logical Reasoning,Analogies,KEPT,curated_representative,
TCS_LOG_121,Logical Reasoning,Classification,KEPT,curated_representative,
TCS_LOG_122,Logical Reasoning,Classification,KEPT,curated_representative,
TCS_LOG_123,Logical Reasoning,Classification,KEPT,curated_representative,
TCS_LOG_124,Logical Reasoning,Classification,KEPT,curated_representative,
TCS_LOG_125,Logical Reasoning,Classification,KEPT,curated_representative,
TCS_LOG_127,Logical Reasoning,Classification,KEPT,curated_representative,
TCS_LOG_128,Logical Reasoning,Classification,KEPT,curated_representative,
TCS_LOG_129,Logical Reasoning,Classification,KEPT,curated_representative,
TCS_LOG_130,Logical Reasoning,Classification,KEPT,curated_representative,
TCS_LOG_131,Logical Reasoning,Classification,KEPT,curated_representative,
TCS_LOG_132,Logical Reasoning,Classification,KEPT,curated_representative,
TCS_LOG_133,Logical Reasoning,Classification,KEPT,curated_representative,
TCS_LOG_134,Logical Reasoning,Classification,KEPT,curated_representative,
TCS_LOG_135,Logical Reasoning,Classification,KEPT,curated_representative,
TCS_LOG_136,Logical Reasoning,Statement and Conclusions,KEPT,curated_representative,
TCS_LOG_137,Logical Reasoning,Statement and Conclusions,KEPT,curated_representative,
TCS_LOG_138,Logical Reasoning,Statement and Conclusions,KEPT,curated_representative,
TCS_LOG_139,Logical Reasoning,Statement and Conclusions,KEPT,curated_representative,
TCS_LOG_140,Logical Reasoning,Statement and Conclusions,KEPT,curated_representative,
TCS_LOG_141,Logical Reasoning,Statement and Conclusions,KEPT,curated_representative,
TCS_LOG_142,Logical Reasoning,Statement and Conclusions,KEPT,curated_representative,
TCS_LOG_143,Logical Reasoning,Statement and Conclusions,KEPT,curated_representative,
TCS_LOG_144,Logical Reasoning,Statement and Conclusions,KEPT,curated_representative,
TCS_LOG_145,Logical Reasoning,Statement and Conclusions,KEPT,curated_representative,
TCS_LOG_146,Logical Reasoning,Statement and Assumptions,KEPT,curated_representative,
TCS_LOG_147,Logical Reasoning,Statement and Assumptions,KEPT,curated_representative,
TCS_LOG_148,Logical Reasoning,Statement and Assumptions,KEPT,curated_representative,
TCS_LOG_149,Logical Reasoning,Statement and Assumptions,KEPT,curated_representative,
TCS_LOG_150,Logical Reasoning,Statement and Assumptions,KEPT,curated_representative,
TCS_LOG_151,Logical Reasoning,Statement and Assumptions,KEPT,curated_representative,
TCS_LOG_152,Logical Reasoning,Statement and Assumptions,KEPT,curated_representative,
TCS_LOG_153,Logical Reasoning,Statement and Assumptions,KEPT,curated_representative,
TCS_LOG_154,Logical Reasoning,Statement and Assumptions,KEPT,curated_representative,
TCS_LOG_155,Logical Reasoning,Statement and Assumptions,KEPT,curated_representative,
TCS_LOG_156,Logical Reasoning,Puzzles,KEPT,curated_representative,
TCS_LOG_157,Logical Reasoning,Puzzles,KEPT,curated_representative,
TCS_LOG_158,Logical Reasoning,Puzzles,KEPT,curated_representative,
TCS_LOG_159,Logical Reasoning,Puzzles,KEPT,curated_representative,
TCS_LOG_160,Logical Reasoning,Puzzles,KEPT,curated_representative,
TCS_LOG_161,Logical Reasoning,Puzzles,KEPT,curated_representative,
TCS_LOG_163,Logical Reasoning,Puzzles,KEPT,curated_representative,
TCS_LOG_164,Logical Reasoning,Puzzles,KEPT,curated_representative,
TCS_LOG_165,Logical Reasoning,Puzzles,KEPT,curated_representative,
TCS_LOG_166,Logical Reasoning,Puzzles,KEPT,curated_representative,
TCS_LOG_167,Logical Reasoning,Puzzles,KEPT,curated_representative,
TCS_LOG_168,Logical Reasoning,Puzzles,KEPT,curated_representative,
TCS_LOG_169,Logical Reasoning,Puzzles,KEPT,curated_representative,
TCS_LOG_170,Logical Reasoning,Puzzles,KEPT,curated_representative,
TCS_LOG_171,Logical Reasoning,Cause and Effect,KEPT,curated_representative,
TCS_LOG_172,Logical Reasoning,Cause and Effect,KEPT,curated_representative,
TCS_LOG_173,Logical Reasoning,Cause and Effect,KEPT,curated_representative,
TCS_LOG_174,Logical Reasoning,Cause and Effect,KEPT,curated_representative,
TCS_LOG_175,Logical Reasoning,Cause and Effect,KEPT,curated_representative,
TCS_LOG_176,Logical Reasoning,Cause and Effect,KEPT,curated_representative,
TCS_LOG_177,Logical Reasoning,Cause and Effect,KEPT,curated_representative,
TCS_LOG_178,Logical Reasoning,Cause and Effect,KEPT,curated_representative,
TCS_LOG_179,Logical Reasoning,Cause and Effect,KEPT,curated_representative,
TCS_LOG_180,Logical Reasoning,Cause and Effect,KEPT,curated_representative,
TCS_LOG_181,Logical Reasoning,Cubes and Dice,KEPT,curated_representative,
TCS_LOG_182,Logical Reasoning,Cubes and Dice,KEPT,curated_representative,
TCS_LOG_183,Logical Reasoning,Cubes and Dice,KEPT,curated_representative,
TCS_LOG_184,Logical Reasoning,Cubes and Dice,KEPT,curated_representative,
TCS_LOG_185,Logical Reasoning,Cubes and Dice,KEPT,curated_representative,
TCS_LOG_186,Logical Reasoning,Cubes and Dice,KEPT,curated_representative,
TCS_LOG_187,Logical Reasoning,Cubes and Dice,KEPT,curated_representative,
TCS_LOG_188,Logical Reasoning,Cubes and Dice,KEPT,curated_representative,
TCS_LOG_189,Logical Reasoning,Cubes and Dice,KEPT,curated_representative,
TCS_LOG_190,Logical Reasoning,Cubes and Dice,KEPT,curated_representative,
TCS_LOG_191,Logical Reasoning,Data Sufficiency,KEPT,curated_representative,
TCS_LOG_192,Logical Reasoning,Data Sufficiency,KEPT,curated_representative,
TCS_LOG_193,Logical Reasoning,Data Sufficiency,KEPT,curated_representative,
TCS_LOG_194,Logical Reasoning,Data Sufficiency,KEPT,curated_representative,
TCS_LOG_195,Logical Reasoning,Data Sufficiency,KEPT,curated_representative,
TCS_LOG_196,Logical Reasoning,Data Sufficiency,KEPT,curated_representative,
TCS_LOG_197,Logical Reasoning,Data Sufficiency,KEPT,curated_representative,
TCS_LOG_198,Logical Reasoning,Data Sufficiency,KEPT,curated_representative,
TCS_LOG_199,Logical Reasoning,Data Sufficiency,KEPT,curated_representative,
TCS_LOG_200,Logical Reasoning,Data Sufficiency,KEPT,curated_representative,
TCS_LOG_201,Logical Reasoning,Critical Reasoning,KEPT,curated_representative,
TCS_LOG_202,Logical Reasoning,Critical Reasoning,KEPT,curated_representative,
TCS_LOG_203,Logical Reasoning,Critical Reasoning,KEPT,curated_representative,
TCS_LOG_204,Logical Reasoning,Critical Reasoning,KEPT,curated_representative,
TCS_LOG_205,Logical Reasoning,Critical Reasoning,KEPT,curated_representative,
TCS_LOG_206,Logical Reasoning,Critical Reasoning,KEPT,curated_representative,
TCS_LOG_207,Logical Reasoning,Critical Reasoning,KEPT,curated_representative,
TCS_LOG_208,Logical Reasoning,Critical Reasoning,KEPT,curated_representative,
TCS_LOG_209,Logical Reasoning,Critical Reasoning,KEPT,curated_representative,
TCS_LOG_210,Logical Reasoning,Critical Reasoning,KEPT,curated_representative,
TCS_LOG_211,Logical Reasoning,Input-Output,KEPT,curated_representative,
TCS_LOG_212,Logical Reasoning,Input-Output,KEPT,curated_representative,
TCS_LOG_213,Logical Reasoning,Input-Output,KEPT,curated_representative,
TCS_LOG_214,Logical Reasoning,Input-Output,KEPT,curated_representative,
TCS_LOG_215,Logical Reasoning,Input-Output,KEPT,curated_representative,
TCS_LOG_216,Logical Reasoning,Input-Output,KEPT,curated_representative,
TCS_LOG_217,Logical Reasoning,Input-Output,KEPT,curated_representative,
TCS_LOG_218,Logical Reasoning,Input-Output,KEPT,curated_representative,
TCS_LOG_219,Logical Reasoning,Input-Output,KEPT,curated_representative,
TCS_LOG_220,Logical Reasoning,Input-Output,KEPT,curated_representative,
TCS_LOG_221,Logical Reasoning,Venn Diagrams,KEPT,curated_representative,
TCS_LOG_222,Logical Reasoning,Venn Diagrams,KEPT,curated_representative,
TCS_LOG_223,Logical Reasoning,Venn Diagrams,KEPT,curated_representative,
TCS_LOG_224,Logical Reasoning,Venn Diagrams,KEPT,curated_representative,
TCS_LOG_225,Logical Reasoning,Venn Diagrams,KEPT,curated_representative,
TCS_LOG_226,Logical Reasoning,Venn Diagrams,KEPT,curated_representative,
TCS_LOG_227,Logical Reasoning,Venn Diagrams,KEPT,curated_representative,
TCS_LOG_228,Logical Reasoning,Venn Diagrams,KEPT,curated_representative,
TCS_LOG_229,Logical Reasoning,Venn Diagrams,KEPT,curated_representative,
TCS_LOG_230,Logical Reasoning,Venn Diagrams,KEPT,curated_representative,
TCS_LOG_231,Logical Reasoning,Matrix Reasoning,KEPT,curated_representative,
TCS_LOG_232,Logical Reasoning,Matrix Reasoning,KEPT,curated_representative,
TCS_LOG_233,Logical Reasoning,Matrix Reasoning,KEPT,curated_representative,
TCS_LOG_234,Logical Reasoning,Matrix Reasoning,KEPT,curated_representative,
TCS_LOG_235,Logical Reasoning,Matrix Reasoning,KEPT,curated_representative,
TCS_LOG_236,Logical Reasoning,Matrix Reasoning,KEPT,curated_representative,
TCS_LOG_237,Logical Reasoning,Matrix Reasoning,KEPT,curated_representative,
TCS_LOG_238,Logical Reasoning,Matrix Reasoning,KEPT,curated_representative,
TCS_LOG_239,Logical Reasoning,Matrix Reasoning,KEPT,curated_representative,
TCS_LOG_240,Logical Reasoning,Matrix Reasoning,KEPT,curated_representative,
TCS_LOG_241,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_242,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_243,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_244,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_245,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_246,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_247,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_248,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_249,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_251,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_252,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_253,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_255,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_256,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_257,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_258,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_259,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_260,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_261,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_262,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_263,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_264,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_265,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_266,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_267,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_268,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_269,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_270,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_271,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_272,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_273,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_274,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_275,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_276,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_277,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_278,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_279,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_280,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_281,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_282,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_283,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_284,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_285,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_286,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_287,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_288,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_289,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_290,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_291,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_292,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_293,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_294,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_296,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_297,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_298,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_299,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_300,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_301,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_302,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_303,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_304,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_305,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_306,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_307,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_308,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_309,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_310,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_311,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_312,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_313,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_314,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_315,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_317,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_318,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_319,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_320,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_321,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_322,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_323,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_324,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_325,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_326,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_327,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_332,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_333,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_334,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_335,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_336,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_337,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_338,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_339,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_340,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_341,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_343,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_344,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_345,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_346,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_347,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_348,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_349,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_350,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_351,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_352,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_353,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_354,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_355,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_356,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_357,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_358,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_359,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_360,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_361,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_362,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_363,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_364,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_365,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_366,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_367,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_368,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_369,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_370,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_371,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_372,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_373,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_374,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_375,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_376,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_377,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_378,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_379,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_380,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_382,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_383,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_384,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_385,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_386,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_387,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_389,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_390,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_391,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_392,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_393,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_394,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_395,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_397,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_398,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_399,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_400,Logical Reasoning,Logical,KEPT,curated_representative,
TCS_LOG_401,Logical Reasoning,Logical,KEPT,curated_representative,
