id,section,difficulty,topic,question,A,B,C,D,answer
TCS_LOG_054,Logical Reasoning,HARD,Blood Relations,X is Y's brother. Y is Z's sister. Z is W's father. W is V's mother. V is X's ___.,Niece,Nephew,Daughter,Cousin,A
TCS_LOG_055,Logical Reasoning,HARD,Blood Relations,Rahul's mother is the only daughter of Monika's father. How is Monika's husband related to Rahul?,Maternal uncle,Father,Grandfather,Uncle,A
TCS_LOG_058,Logical Reasoning,HARD,Blood Relations,"If M is the daughter of N, N is the sister of P, P is the mother of Q, then M is Q's ___",Cousin,Niece,Aunt,Sister,A
TCS_LOG_059,Logical Reasoning,HARD,Blood Relations,P is Q's father. Q is R's sister. S is R's mother. T is S's father. P is T's ___,Son-in-law,Nephew,Son,Cousin,A
TCS_LOG_046,Logical Reasoning,MEDIUM,Blood Relations,A is the father of B. B is the sister of C. C is the son of D. What is D to A?,Son-in-law,Daughter-in-law,Son,Daughter,A
TCS_LOG_047,Logical Reasoning,MEDIUM,Blood Relations,"Pointing to a woman, a man says 'She is the sister of the father of my son.' How is the woman related to the man?",Aunt,Sister,Mother,Cousin,A
TCS_LOG_050,Logical Reasoning,MEDIUM,Blood Relations,"Introducing a girl, a boy says 'She is the daughter of my mother's only son.' How is the girl related to the boy?",Daughter,Niece,Sister,Cousin,A
TCS_LOG_051,Logical Reasoning,MEDIUM,Blood Relations,"A man said to a woman, 'Your mother's husband's sister is my aunt.' How is the woman related to the man?",Sister,Aunt,Niece,Cousin,A
TCS_LOG_056,Logical Reasoning,MEDIUM,Blood Relations,"If A's father's only son is B, and B's mother is C, then C is A's ___",Mother,Aunt,Sister,Grandmother,A
TCS_LOG_057,Logical Reasoning,MEDIUM,Blood Relations,A woman introduces a man as the son of the brother of her mother. How is the man related to the woman?,Cousin,Uncle,Nephew,Brother,A
TCS_LOG_171,Logical Reasoning,EASY,Cause and Effect,Statement I: The government announced free vaccinations. Statement II: Hospital admissions for preventable diseases dropped significantly. Relation:,"Statement I is the cause, Statement II is the effect","Statement II is the cause, Statement I is the effect",Both are effects of a third cause,Both are independent,A
TCS_LOG_172,Logical Reasoning,EASY,Cause and Effect,Statement I: Fuel prices rose sharply this month. Statement II: Public transport usage increased significantly. Relation:,"Statement I is the cause, Statement II is the effect","Statement II is the cause, Statement I is the effect",Both are independent,Cannot determine,A
TCS_LOG_173,Logical Reasoning,EASY,Cause and Effect,Statement I: The river flooded the fields. Statement II: Farmers reported massive crop losses. Relation:,"I is cause, II is effect","II is cause, I is effect",Both are effects,Both are causes,A
TCS_LOG_176,Logical Reasoning,EASY,Cause and Effect,Statement I: Heavy rainfall for three consecutive days. Statement II: Roads in the city have been waterlogged. Relation:,"I is cause, II is effect","II is cause, I is effect",Both are effects,Both are causes,A
TCS_LOG_179,Logical Reasoning,EASY,Cause and Effect,Statement I: The company posted record profits. Statement II: Employee bonuses were doubled this quarter. Relation:,"I is cause, II is effect","II is cause, I is effect",Both are independent,Both are causes,A
TCS_LOG_177,Logical Reasoning,HARD,Cause and Effect,Statement I: Many professionals are opting for remote work. Statement II: Office space rental rates in cities have fallen. Relation:,"I is cause, II is effect","II is cause, I is effect",Independent events,Both are effects of pandemic,A
TCS_LOG_174,Logical Reasoning,MEDIUM,Cause and Effect,Statement I: Rampant plastic use is polluting oceans. Statement II: Marine wildlife populations are declining globally. Relation:,"I is cause, II is effect","II is cause, I is effect",Both are independent events,Both are effects of a third factor,A
TCS_LOG_175,Logical Reasoning,MEDIUM,Cause and Effect,Statement I: The school introduced digital tablets for students. Statement II: Student engagement and performance improved significantly. Relation:,"I is cause, II is effect","II is cause, I is effect",Both are independent,Cannot determine,A
TCS_LOG_178,Logical Reasoning,MEDIUM,Cause and Effect,Statement I: Smartphone usage among teenagers has increased dramatically. Statement II: Many teenagers now have poor posture and neck pain. Relation:,"I is cause, II is effect","II is cause, I is effect",Both are independent,Cannot determine,A
TCS_LOG_180,Logical Reasoning,MEDIUM,Cause and Effect,Statement I: Crime rates in the neighborhood fell. Statement II: Police patrol frequency in the area was increased. Relation:,"II is cause, I is effect","I is cause, II is effect",Both are independent,Cannot determine,A
TCS_LOG_121,Logical Reasoning,EASY,Classification,"Find the odd one: Rose, Lily, Jasmine, Lotus, Petal",Petal,Rose,Lily,Jasmine,A
TCS_LOG_122,Logical Reasoning,EASY,Classification,"Find the odd one: Dog, Cat, Horse, Snake, Elephant",Snake,Dog,Cat,Horse,A
TCS_LOG_123,Logical Reasoning,EASY,Classification,"Find the odd one: Violin, Guitar, Flute, Sitar, Veena",Flute,Violin,Guitar,Sitar,A
TCS_LOG_125,Logical Reasoning,EASY,Classification,"Find the odd one: Mercury, Venus, Moon, Mars, Saturn",Moon,Mercury,Venus,Mars,A
TCS_LOG_129,Logical Reasoning,EASY,Classification,"Find the odd one: Triangle, Circle, Square, Cube, Rectangle",Cube,Triangle,Circle,Square,A
TCS_LOG_130,Logical Reasoning,EASY,Classification,"Find the odd one: Nitrogen, Oxygen, Hydrogen, Carbon dioxide, Argon",Carbon dioxide,Nitrogen,Oxygen,Hydrogen,A
TCS_LOG_131,Logical Reasoning,EASY,Classification,"Find the odd one: 2, 3, 5, 7, 9, 11",9,2,3,5,A
TCS_LOG_135,Logical Reasoning,EASY,Classification,"Find the odd one: Hammer, Screwdriver, Chisel, Wrench, Thermometer",Thermometer,Hammer,Screwdriver,Chisel,A
TCS_LOG_132,Logical Reasoning,HARD,Classification,"Find the odd one: Mango, Banana, Orange, Pomegranate, Guava",Pomegranate,Mango,Banana,Orange,A
TCS_LOG_133,Logical Reasoning,HARD,Classification,"Find the odd one: Keyboard, Mouse, Monitor, CPU, Printer, Scanner",Printer or Scanner,Keyboard,Mouse,Monitor,A
TCS_LOG_134,Logical Reasoning,HARD,Classification,"Find the odd one: BFKO, CGJN, DHLO, EIMQ",DHLO,BFKO,CGJN,EIMQ,A
TCS_LOG_124,Logical Reasoning,MEDIUM,Classification,"Find the odd one: Python, Java, HTML, C++, JavaScript",HTML,Java,Python,C++,A
TCS_LOG_127,Logical Reasoning,MEDIUM,Classification,"Find the odd one: Nephew, Brother, Son, Cousin, Aunt",Aunt,Nephew,Brother,Son,A
TCS_LOG_128,Logical Reasoning,MEDIUM,Classification,"Find the odd one: Carrot, Potato, Brinjal, Turnip, Radish",Brinjal,Carrot,Potato,Turnip,A
TCS_LOG_028,Logical Reasoning,HARD,Coding-Decoding,"If FRIEND is coded as HUMKBP, how is CANDLE coded?",ECODFG,DCPFMH,EBNFMH,ECPFNH,B
TCS_LOG_029,Logical Reasoning,HARD,Coding-Decoding,"If PAPER is coded as SDSHU, how is PENCIL coded?",SHQFLO,THQFLO,SHRFLO,SHQELO,A
TCS_LOG_030,Logical Reasoning,HARD,Coding-Decoding,"If LAPTOP = 23 and KEYBOARD = 31, what does the code represent?",Sum of positions of letters,Number of letters × 2,Sum of alternate letters,Product of vowels,A
TCS_LOG_031,Logical Reasoning,HARD,Coding-Decoding,"If in a code, 'go for win' means 135, 'for the game' means 259, 'win the match' means 167, then 'game' is coded as:",9,5,2,3,A
TCS_LOG_032,Logical Reasoning,HARD,Coding-Decoding,"If MONEY = 57637, what is 6357?",YENOM,YEON,YENM,NOME,B
TCS_LOG_033,Logical Reasoning,HARD,Coding-Decoding,"If '1' means '+', '2' means '−', '3' means '×', '4' means '÷', what is 8 3 6 1 4 2 2?",50,46,52,48,A
TCS_LOG_034,Logical Reasoning,HARD,Coding-Decoding,"In a code TREE = 3556, RIDE = 5465, then TIRE = ?",3465,3456,4365,3546,A
TCS_LOG_036,Logical Reasoning,HARD,Coding-Decoding,"If blue = 4, green = 5, red = 3, yellow = 6, what does pink = ?",4,5,3,6,A
TCS_LOG_038,Logical Reasoning,HARD,Coding-Decoding,CLOUD is coded as DNPVF. What is STORM?,TUPSO,TUSQP,TUPQS,TUPSQ,A
TCS_LOG_040,Logical Reasoning,HARD,Coding-Decoding,"In a certain code, 15789 represents EGKOT and 2346 represents ALQM. What is METAL?",23974,23947,32974,29374,A
TCS_LOG_041,Logical Reasoning,HARD,Coding-Decoding,"If EARTH is coded as 51962, MARS is coded as ?",3194,3196,3192,3198,C
TCS_LOG_043,Logical Reasoning,HARD,Coding-Decoding,"Mirror code: each letter is replaced by its mirror (A↔Z, B↔Y...). CODE = ?",XLWV,XLDV,XLWU,XLDW,A
TCS_LOG_045,Logical Reasoning,HARD,Coding-Decoding,"If NORTH is coded as UQHMA, then SOUTH is coded as ?",ZQHMA,ZQHNA,YQHNA,YQHMA,A
TCS_LOG_026,Logical Reasoning,MEDIUM,Coding-Decoding,"In a code, APPLE = 12234. What is 12241?",APPLA,APPLY,APPEA,APPEL,B
TCS_LOG_035,Logical Reasoning,MEDIUM,Coding-Decoding,"If P = 16, R = 18, then PRINT = ?",75,73,71,77,B
TCS_LOG_037,Logical Reasoning,MEDIUM,Coding-Decoding,"Code: A=2, B=4, C=6,... What is ACE?",24,28,26,30,B
TCS_LOG_039,Logical Reasoning,MEDIUM,Coding-Decoding,"If SAND = 19-1-14-4, then GOLD = ?",7-15-12-4,8-15-12-5,7-16-12-4,8-14-12-4,A
TCS_LOG_044,Logical Reasoning,MEDIUM,Coding-Decoding,"If TABLE = 20-1-2-12-5 (position), CHAIR = ?",3-8-1-9-18,3-9-1-8-18,3-8-2-9-18,4-8-1-9-18,A
TCS_LOG_201,Logical Reasoning,HARD,Critical Reasoning,"Argument: 'The crime rate in cities with CCTV cameras is lower than in cities without. Therefore, CCTV cameras reduce crime.' The assumption is:",CCTV cameras are the only difference between the two groups of cities,Cities are identical in all other respects,CCTV cameras record all crime,Police in CCTV cities work harder,B
TCS_LOG_202,Logical Reasoning,HARD,Critical Reasoning,"Argument: 'Sales of ice cream rise when drowning accidents increase. Therefore, eating ice cream causes drowning.' The flaw is:",Correlation is mistaken for causation,The sample size is too small,The argument is circular,The conclusion is irrelevant,A
TCS_LOG_203,Logical Reasoning,HARD,Critical Reasoning,A company policy states: 'Employees with perfect attendance get a bonus.' Ram received a bonus. What can we conclude?,Ram may or may not have perfect attendance,Ram has perfect attendance,Ram has partial attendance,Cannot conclude anything,A
TCS_LOG_204,Logical Reasoning,HARD,Critical Reasoning,Argument: 'Every student who passed the exam studied hard. Priya studied hard.' Conclusion: 'Priya passed the exam.' This argument is:,Invalid - affirming the consequent,Valid deductive argument,Valid inductive argument,Sound and valid,A
TCS_LOG_206,Logical Reasoning,HARD,Critical Reasoning,"'Either the train is on time, or we will be late. We are not late. Therefore, the train was on time.' This is an example of:",Valid disjunctive syllogism,Invalid argument,Circular reasoning,Hasty generalization,A
TCS_LOG_207,Logical Reasoning,HARD,Critical Reasoning,Which weakens the argument: 'Students who use laptops in class perform better on exams.'?,High-performing students are more likely to own laptops,Laptops distract students,The study covered 5000 students,Laptops allow better note-taking,A
TCS_LOG_208,Logical Reasoning,HARD,Critical Reasoning,All A are B. Some B are C. Therefore:,Some A may or may not be C,All A are C,No A are C,Some A are definitely C,A
TCS_LOG_209,Logical Reasoning,HARD,Critical Reasoning,"A man says, 'I always lie.' This statement is:",A paradox,True,False,A valid claim,A
TCS_LOG_205,Logical Reasoning,MEDIUM,Critical Reasoning,"If the statement 'All politicians are corrupt' is false, which is definitely true?",Some politicians are not corrupt,No politician is corrupt,All politicians are honest,Politicians are rarely corrupt,A
TCS_LOG_210,Logical Reasoning,MEDIUM,Critical Reasoning,Which conclusion follows from: 'No honest person is wealthy. Some politicians are wealthy.'?,Some politicians are not honest,All politicians are dishonest,No politician is honest,Wealthy people are dishonest,A
TCS_LOG_187,Logical Reasoning,EASY,Cubes and Dice,A rectangular block 2×3×4 is cut into 1×1×1 unit cubes. How many unit cubes are there?,24,12,36,16,A
TCS_LOG_181,Logical Reasoning,HARD,Cubes and Dice,A cube is painted red on all faces and cut into 64 smaller cubes. How many small cubes have no painted face?,8,16,24,32,A
TCS_LOG_182,Logical Reasoning,HARD,Cubes and Dice,A cube is painted and cut into 27 smaller cubes. How many have exactly 1 painted face?,6,12,8,24,A
TCS_LOG_184,Logical Reasoning,HARD,Cubes and Dice,A cube is cut into 125 smaller cubes. How many have exactly 3 painted faces?,8,12,4,6,A
TCS_LOG_188,Logical Reasoning,HARD,Cubes and Dice,A cube is painted on all faces and cut into 216 smaller cubes. How many have no paint?,64,125,100,150,A
TCS_LOG_189,Logical Reasoning,HARD,Cubes and Dice,"Opposite faces of a die: 1-6, 2-5, 3-4. Die placed with 1 on top, 2 facing front. What is on right?",3,4,5,6,A
TCS_LOG_190,Logical Reasoning,HARD,Cubes and Dice,A 3×3×3 cube is painted on all faces and cut into 27 unit cubes. How many have paint on exactly 2 faces?,12,6,8,24,A
TCS_LOG_183,Logical Reasoning,MEDIUM,Cubes and Dice,"On a standard dice, opposite faces add up to 7. If 3 is on top and 4 faces you, which number is at the bottom?",4,3,5,6,A
TCS_LOG_185,Logical Reasoning,MEDIUM,Cubes and Dice,A die shows 2 on top and 3 facing you. What is at the bottom?,5,4,6,1,A
TCS_LOG_186,Logical Reasoning,MEDIUM,Cubes and Dice,A cube is painted red on all sides and cut into 8 equal smaller cubes. How many small cubes have exactly 3 painted faces?,8,4,6,0,A
TCS_LOG_200,Logical Reasoning,EASY,Data Sufficiency,How old is Priya? (I) Priya is 5 years older than Riya. (II) Riya is 20 years old.,Both together are sufficient,Only I,Only II,Neither,A
TCS_LOG_191,Logical Reasoning,HARD,Data Sufficiency,Is x > 0? (I) x2 = 4 (II) x + 1 > 0,Statement II alone is sufficient,Statement I alone is sufficient,Both together are sufficient,Neither is sufficient,A
TCS_LOG_192,Logical Reasoning,HARD,Data Sufficiency,What is the value of x? (I) 2x + y = 10 (II) x − y = 2,Both together are sufficient,Statement I alone,Statement II alone,Neither,A
TCS_LOG_197,Logical Reasoning,HARD,Data Sufficiency,What is the perimeter of a rectangle? (I) Length is 12 cm. (II) Area is 60 cm2.,Both together are sufficient,Statement I alone,Statement II alone,Neither,A
TCS_LOG_199,Logical Reasoning,HARD,Data Sufficiency,What is the distance from A to C? (I) Distance from A to B is 5 km. (II) Distance from B to C is 7 km.,"Both statements together might not be sufficient without knowing if A, B, C are collinear",Both alone,Only II,Only I,A
TCS_LOG_193,Logical Reasoning,MEDIUM,Data Sufficiency,Is triangle ABC equilateral? (I) All sides are equal. (II) All angles are 60°.,Either I or II alone is sufficient,Only I is sufficient,Only II is sufficient,Both together are needed,A
TCS_LOG_194,Logical Reasoning,MEDIUM,Data Sufficiency,"What is the average age of A, B, C? (I) Average of A and B is 25. (II) C's age is 28.",Both together are sufficient,Statement I alone,Statement II alone,Neither alone nor together,A
TCS_LOG_195,Logical Reasoning,MEDIUM,Data Sufficiency,Is n divisible by 6? (I) n is divisible by 2. (II) n is divisible by 3.,Both together are sufficient,Statement I alone,Statement II alone,Neither,A
TCS_LOG_196,Logical Reasoning,MEDIUM,Data Sufficiency,What is the selling price? (I) Cost price is Rs.200. (II) Profit percentage is 25%.,Both together are sufficient,Statement I alone,Statement II alone,Neither,A
TCS_LOG_198,Logical Reasoning,MEDIUM,Data Sufficiency,Is x an odd number? (I) x is divisible by 3. (II) x is not divisible by 2.,Statement II alone is sufficient,Statement I alone is sufficient,Both are needed,Neither is sufficient,A
TCS_LOG_086,Logical Reasoning,EASY,Direction Sense,"A walks 10m North, turns right walks 5m, turns right walks 10m. Distance from start?",5m East,5m West,10m East,5m North,A
TCS_LOG_090,Logical Reasoning,EASY,Direction Sense,"After turning clockwise 90° from South, where am I facing?",West,East,North,South,A
TCS_LOG_091,Logical Reasoning,EASY,Direction Sense,"Starting West, turn right, then turn right again. Which direction?",East,West,North,South,A
TCS_LOG_092,Logical Reasoning,EASY,Direction Sense,"A walks 3km North, 4km East, 3km South, and 4km West. He is now:",At starting point,4km East,4km West,3km North,A
TCS_LOG_095,Logical Reasoning,EASY,Direction Sense,"In a city, roads run North-South and East-West. If you face North and turn left, you face:",West,East,South,North,A
TCS_LOG_097,Logical Reasoning,EASY,Direction Sense,"P walks 10m North, Q starts at same point and walks 10m South. How far apart are they?",20 m,10 m,0 m,15 m,A
TCS_LOG_098,Logical Reasoning,EASY,Direction Sense,"From home I walk 5m East, 5m North, 5m West, and 5m South. Where am I?",At home,5m North,5m East,5m South,A
TCS_LOG_089,Logical Reasoning,HARD,Direction Sense,"Ram walks 5m North, turns left 3m, turns left 5m, turns right 2m. How far from start, facing which direction?",5m East,5m West,3m East,2m East,A
TCS_LOG_099,Logical Reasoning,HARD,Direction Sense,"A man faces West. He turns 45° clockwise, then 180° anti-clockwise. Where does he face?",Southeast,Northwest,Northeast,Southwest,A
TCS_LOG_100,Logical Reasoning,HARD,Direction Sense,"Ravi walks 12m North, 5m East, and turns South. He walks 3m. How far is he from start?",13m (approx),14m,12m,15m,A
TCS_LOG_087,Logical Reasoning,MEDIUM,Direction Sense,"Starting North, turn right thrice. Which direction am I facing?",West,North,East,South,A
TCS_LOG_088,Logical Reasoning,MEDIUM,Direction Sense,"A goes 6 km East, then 8 km South. How far from starting point?",10 km,14 km,12 km,8 km,A
TCS_LOG_094,Logical Reasoning,MEDIUM,Direction Sense,"A walks 20m South, turns left 10m, turns left 20m, turns left 10m. He is now:",At start,20m North,10m South,20m East,A
TCS_LOG_096,Logical Reasoning,MEDIUM,Direction Sense,A town map: School is 3km East of Library. Hospital is 4km North of School. How far is Hospital from Library?,5 km,7 km,4 km,6 km,A
TCS_LOG_211,Logical Reasoning,HARD,Input-Output,Machine step pattern - Input: 'bold girl smart work' → Step1: 'girl bold smart work' → Step2: 'girl bold work smart' → What is Step3?,girl bold work smart (already arranged),girl smart bold work,girl work bold smart,smart girl bold work,A
TCS_LOG_212,Logical Reasoning,HARD,Input-Output,"In a step process, numbers are arranged in descending order. Input: 5 8 2 9 3 1. Step 2 output is:",9 8 5 2 3 1,9 8 2 5 3 1,8 9 5 2 3 1,9 5 8 2 3 1,A
TCS_LOG_213,Logical Reasoning,HARD,Input-Output,Input: 26 15 43 7 31 18. If even numbers are halved and odd numbers are multiplied by 3. Output is:,13 45 21.5 21 93 9,52 45 86 21 93 36,13 45 21.5 21 93 9,13 45 22 21 93 9,A
TCS_LOG_215,Logical Reasoning,HARD,Input-Output,A machine reverses words and capitalizes first letter of each reversed word. Input: 'hello world test'. Output:,Olleh Dlrow Tset,HELLO WORLD TEST,olleh dlrow tset,Hello World Test,A
TCS_LOG_216,Logical Reasoning,HARD,Input-Output,"Input: 84 25 63 12 45. Numbers sorted in ascending order, then each multiplied by 2. Final sequence:",24 50 84 90 126,24 50 90 84 126,24 50 84 126 90,50 24 84 90 126,C
TCS_LOG_217,Logical Reasoning,HARD,Input-Output,"In a code: A→D, B→E, C→F,... (shift +3). Decode 'GRR':",DOO,DOP,DNA,EPP,A
TCS_LOG_218,Logical Reasoning,HARD,Input-Output,"Step 1: Add positions of all letters. Step 2: Multiply by 2. CAT (3+1+20=24, ×2=48). What is DOG?",60,56,52,72,B
TCS_LOG_219,Logical Reasoning,HARD,Input-Output,"A sorting machine arranges numbers: largest moves to end. After pass 1 on [3,1,4,1,5,9]: result is:",3 1 4 1 5 9,1 3 4 1 5 9,3 1 4 1 5 9,3 1 1 4 5 9,A
TCS_LOG_220,Logical Reasoning,HARD,Input-Output,Input: RED GREEN BLUE. If all letters are reversed and only first 3 letters of each word taken. Output:,DER NER EUL,RED GRE BLU,DER EER ULB,EDR NEE EUL,A
TCS_LOG_214,Logical Reasoning,MEDIUM,Input-Output,Shift cipher: each letter moves +3 positions. Encode 'CAT':,FDW,DFW,FDX,ECV,A
TCS_LOG_568,Logical Reasoning,EASY,Logical,Teacher:School :: Doctor:?,Hospital,Clinic,Lab,Pharmacy,A
TCS_LOG_569,Logical Reasoning,EASY,Logical,River:Ocean :: Creek:?,Sea,River,Lake,Pond,A
TCS_LOG_570,Logical Reasoning,EASY,Logical,Pen:Write :: Hammer:?,Hit,Nail,Build,Destroy,A
TCS_LOG_575,Logical Reasoning,EASY,Logical,Sugar:Sweet :: Salt:?,Salty,Bitter,Sour,Spicy,A
TCS_LOG_617,Logical Reasoning,EASY,Logical,P is Q's father. Q is R's husband. S is Q's son. P is S's?,Grandfather,Father,Uncle,Brother,A
TCS_LOG_618,Logical Reasoning,EASY,Logical,"A is B's mother, C is A's husband. B is C's?",Son or Daughter,Father,Mother,Brother,A
TCS_LOG_619,Logical Reasoning,EASY,Logical,Riya is Meena's sister. Meena is Sita's daughter. Riya is Sita's?,Daughter,Niece,Sister,Cousin,A
TCS_LOG_620,Logical Reasoning,EASY,Logical,X has 2 sons Y and Z. Y is A's father. A is B's sister. B is X's?,Grandson,Granddaughter,Nephew,Son,A
TCS_LOG_637,Logical Reasoning,EASY,Logical,"Go N 5km, E 3km, S 5km. Where are you?",3km East of start,5km North,3km West,At start,A
TCS_LOG_638,Logical Reasoning,EASY,Logical,"Face W, turn right, turn right again. Now facing?",East,West,South,North,A
TCS_LOG_639,Logical Reasoning,EASY,Logical,"Walk S 4km, turn left 3km. Distance from start?",5km,7km,4km,3km,A
TCS_LOG_640,Logical Reasoning,EASY,Logical,"A is N of B, C is E of A. B is SW of?",C,A,D,Neither,A
TCS_LOG_659,Logical Reasoning,EASY,Logical,"Odd one out: Monday, Tuesday, Thursday, Sunday, Holiday",Holiday,Monday,Tuesday,Thursday,A
TCS_LOG_241,Logical Reasoning,MEDIUM,Logical,"Number series: 2, 5, 10, 17, 26, ?",37,35,38,36,A
TCS_LOG_242,Logical Reasoning,MEDIUM,Logical,"Number series: 3, 9, 27, 81, ?",243,162,324,81,A
TCS_LOG_243,Logical Reasoning,MEDIUM,Logical,"Number series: 1, 1, 2, 3, 5, 8, ?",13,11,15,10,A
TCS_LOG_244,Logical Reasoning,MEDIUM,Logical,"Number series: 5, 10, 20, 40, ?",80,60,100,70,A
TCS_LOG_245,Logical Reasoning,MEDIUM,Logical,"Number series: 7, 14, 28, 56, ?",112,84,98,100,A
TCS_LOG_246,Logical Reasoning,MEDIUM,Logical,"Letter series: Z, X, V, T, ?",R,S,Q,P,A
TCS_LOG_247,Logical Reasoning,MEDIUM,Logical,"Letter series: A, D, G, J, ?",M,L,N,K,A
TCS_LOG_248,Logical Reasoning,MEDIUM,Logical,"Letter series: B, D, F, H, ?",J,I,K,L,A
TCS_LOG_249,Logical Reasoning,MEDIUM,Logical,"Alphanumeric: A1, B3, C6, D10, ?",E15,E14,F15,E16,A
TCS_LOG_251,Logical Reasoning,MEDIUM,Logical,"Find the odd one out: Cat, Dog, Lion, Sparrow",Sparrow,Cat,Dog,Lion,A
TCS_LOG_252,Logical Reasoning,MEDIUM,Logical,"Find the odd one out: Triangle, Circle, Square, Cube",Cube,Triangle,Circle,Square,A
TCS_LOG_253,Logical Reasoning,MEDIUM,Logical,"Find the odd one out: Wheat, Rice, Mango, Barley",Mango,Wheat,Rice,Barley,A
TCS_LOG_255,Logical Reasoning,MEDIUM,Logical,"Find the odd one out: January, March, May, June",June,January,March,May,A
TCS_LOG_256,Logical Reasoning,MEDIUM,Logical,Analogy: Doctor : Hospital :: Teacher : ?,School,Library,Office,Clinic,A
TCS_LOG_257,Logical Reasoning,MEDIUM,Logical,Analogy: Book : Library :: Money : ?,Bank,Wallet,Shop,Market,A
TCS_LOG_258,Logical Reasoning,MEDIUM,Logical,Analogy: Fish : Water :: Bird : ?,Air,Sky,Nest,Tree,A
TCS_LOG_259,Logical Reasoning,MEDIUM,Logical,Analogy: Iron : Hard :: Cotton : ?,Soft,Heavy,Rough,Strong,A
TCS_LOG_260,Logical Reasoning,MEDIUM,Logical,Analogy: Pen : Write :: Knife : ?,Cut,Cook,Draw,Sew,A
TCS_LOG_261,Logical Reasoning,MEDIUM,Logical,Analogy: Sun : Day :: Moon : ?,Night,Stars,Sky,Cloud,A
TCS_LOG_262,Logical Reasoning,MEDIUM,Logical,Analogy: Earth : Planet :: India : ?,Country,City,Continent,State,A
TCS_LOG_263,Logical Reasoning,MEDIUM,Logical,Analogy: Cricket : Bat :: Hockey : ?,Stick,Ball,Net,Court,A
TCS_LOG_264,Logical Reasoning,MEDIUM,Logical,Analogy: Water : Thirst :: Food : ?,Hunger,Eat,Cook,Taste,A
TCS_LOG_265,Logical Reasoning,MEDIUM,Logical,Analogy: Snake : Reptile :: Frog : ?,Amphibian,Insect,Mammal,Bird,A
TCS_LOG_266,Logical Reasoning,MEDIUM,Logical,Coding: In code APPLE=BQQMF. How is MANGO coded?,NBOHO,MANGO,NAMGO,NANGO,A
TCS_LOG_267,Logical Reasoning,MEDIUM,Logical,"Coding: If CAT=3120, then DOG=?",4157,4167,3267,4267,A
